Network,FamilyName,Alias,FamilyRoleOrder,Instance,VisualSignature,Hook,AttackDesc,Orig1,Orig2,Orig3,Orig4,Fear1,Fear2,Fear3,Ambition1,Ambition2,Ambition3,Loves1,Loves2,Loves3,FamilyLinkType,FamilyLinkDetails,FamilyDynamicType,FamilyDynamicDetail,PartnerDesc,ExtPerson1,ExtPerson2,ExtPerson3,ExtDescription1,ExtDescription2,ExtDescription3
Eloquence,Milo,Tony M,1,1,"Impeccably calm and well-kept, with a practiced smile and a market-clerk’s quick hands; always smells faintly of clean herbs and citrus.","When the smile finally slips, you realize his calm is a skill he’s been paying for—one breath at a time.","Flicks a Vintage Atomizer and mists the air like slowing a clock; in the half-second of hesitation, he steps in and lands a precise, calming strike.","“If you can’t repeat it on a bad day, it isn’t a remedy.”","Tony M works the wellness counter in Lexena Market with the steady ease of someone who’s learned to make panic feel manageable. He doesn’t sell miracles—he sells repeatable steps: hydration, rest, routines, and a calm voice that helps people find their own footing again.","Customers trust him because he listens first. He asks a few clean questions, notices the smallest tells—shaking hands, shallow breathing, forced jokes—and offers guidance that fits the person instead of the trend. His kindness isn’t soft; it’s structured, the way a good plan is.","Underneath that steadiness is a man who refuses to let others see his own cracks. Tony’s warmth is real, but it’s also a discipline—something he practices so the world never has to wonder whether he’s okay.",Losing composure in public.,Being exposed as less steady than he appears.,Physical decline that takes his routine away.,Become the most trusted wellness guide in Lexena’s market district.,"Build a small, reliable clinic brand rooted in routine—not hype.",Learn to rest without feeling like he’s failing.,Dogs — a small habit that keeps them human.,Herbal blends — a small habit that keeps them human.,Repeatable routines,Consultant,"the Student Body President, stressed from the Principal and students, relies on Tony for stress-management formulas and advice on 'spiritual alignment'.",Oracle,"Tony speaks in vague parables; the Student Body President translates them into actionable strategy. Tony respects the Student Body President for keeping the market busy, but secretly envies the Student Body President’s genuine youth.","A skilled clothes shop merchant with her own momentum. Person who lives louder than Tony does—restless, curious, and unpredictable. Being around her reminds him that calm can be chosen, not just performed.",,,,,,
Eloquence,Milo,Justin S,1,2,"Spotless chef whites, careful posture, and eyes that scan for contamination and exits; his hands move with quiet precision even when he barely speaks.",A former fine-dining name who rebuilt his life by becoming invisible—because attention is what gets you hurt.,"Glides a Ceramic Sashimi Knife from a towel fold and snaps the ‘service window’ shut—one clean, silent cut that ends the interaction before it can escalate.",“Clean kitchen. Clean record. Quiet life.”,"Justin S once cooked at the highest level, the kind of chef whose name could fill a room before the first plate landed. At the peak of that life, he married Sasha—someone who seemed to understand ambition as well as he did, and who moved easily through circles that wanted access.","Then something went wrong in a way Justin still struggles to name out loud. A breach, a disappearance, missing valuables, and strangers who suddenly treated his life like a ledger that needed balancing. Justin lost his place in the industry and learned the hard rule of visibility: being successful can make you a target.","Lewor College gave him a different kind of kitchen—lower pay, lower prestige, lower risk. He runs dining operations with the same relentless standards, but now every improvement comes with a question he never used to ask: will this make me too noticeable?",Becoming visible enough to be ‘found’ again.,A failure of safety in his kitchen.,Being used as a doorway for someone else’s agenda.,Rebuild a stable life without inviting unwanted attention.,"Keep Lewor’s dining operation clean, safe, and respected.",Someday open a small restaurant that answers only to his own standards.,Precision cooking,Sanitation — a small habit that keeps them human.,Late-night prep quiet,Nutrition,Justin runs the nutrition program for the Student Body President’s athletes and the college at large.,Standard,"the Student Body President appreciates the quality but constantly fights Justin on food costs. Justin refuses to serve 'slop,' viewing every meal as a battle for dignity.","A junior hairdresser with her own momentum. Person Justin’s former wife—brilliant, charming, and hard to read in hindsight. She vanished after the fallout, leaving Justin with questions that don’t fit neatly into any recipe.",,,,,,
Eloquence,Milo,Rodnar R,1,3,"A towering principal in perfectly pressed suits, glasses always aligned; carries an Armored Briefcase like it’s part of his posture.",He can command a campus with paperwork—yet a simple friendly conversation can defeat him.,Surges forward with an Armored Briefcase held like a riot shield; the impact lands like a moving policy—everything in front of him gets shoved back into line.,“Order is not cruelty. It’s protection.”,"Rodnar R runs Lewor College like a system that must not fail. He believes stability is a moral act, and that rules—when written well—can keep people safe from the chaos they invite without thinking.","Lewor’s middle-class resources force him to be inventive in quieter ways: procedures, schedules, approvals, and the kind of bureaucratic consistency that turns a struggling campus into something that still functions. He’s most powerful when he can speak through titles, offices, and forms.","But outside the role, Rodnar’s social instincts misfire. He tries to connect, tries to be casual, and often lands as blunt or intimidating without meaning to. He hides that vulnerability because principals aren’t supposed to look lonely.",Public scandal that collapses his authority.,Academic humiliation or loss of institutional standing.,Uncontrolled disorder that becomes irreversible.,Raise Lewor’s credibility through structure and results.,Prove that leadership can be engineered with care.,Learn how to connect without needing the mask of authority.,Systems and policy craft,Quiet late-office hours,Rare sincere conversations,Administrator,Rodnar is the ultimate authority over the Student Body President (Student Body President).,Wall,Rodnar views the Student Body President as a charming but potential chaos agent. the Student Body President must navigate Rodnar's bureaucracy to achieve anything. Rodnar secretly envies the Student Body President’s ease with people.,"A executive senior administrator with her own momentum. Moves easily in social rooms where Rodnar stiffens. Her diplomacy smooths edges he can’t always see, and their partnership forces him to face the limits of authority at home.",,,,,,
Eloquence,Milo,John P,1,4,"Faded button-downs, tired eyes, and a calm that never asks for attention; usually half-hidden behind stacks, carrying a heavy reference book like it’s normal.",He looks passive until you realize he’s choosing stillness—because motion is something he saves for the moments that matter.,"Lets a Heavy Encyclopedia fall from above like an overdue judgment; when the dust settles, he’s already slipped between the stacks.",“Most answers already exist. People just don’t like where they lead.”,"John P chose librarianship because it’s one of the few roles that allows quiet competence without spectacle. He keeps Lewor’s stacks running with patient routine, guiding students gently and making the library feel like the last place on campus where the world slows down.","People underestimate him, and John rarely corrects them. He listens, remembers, and notices patterns in what people avoid saying. In conversations, he can feel like a safe harbor—someone who won’t punish you for telling the truth.","Few know he’s drawn to movement—the kind that requires trust in your body and your timing. That hidden interest in parkour is less rebellion than longing: a private reminder that he’s allowed to have momentum, not just observation.",Being forced into public responsibility.,Crowds and loud confrontation.,Losing the quiet spaces he depends on.,Keep the library intact as Lewor’s steady refuge.,Find a life where he can move without fear of being seen.,Earn real peace without disappearing from everyone.,Quiet stacks — a small habit that keeps them human.,Philosophy — a small habit that keeps them human.,Rare texts — a small habit that keeps them human.,Student,the Student Body President is a frequent visitor to the library for 'study' (often cover for stress breaks).,Observer,"John observes the Student Body President’s stress when the mask slips in the quiet stacks, identifying with the hidden pressure. the Student Body President sees John as a safe harbor.","A lead manager with her own momentum. Person a project manager at a construction firm—sharp, protective, and fiercely competent. She gives John room to lead in his own life, not because he needs saving, but because she believes he can grow into his own momentum.",,,,,,
Eloquence,Milo,Karter H,1,5,Always in AΦT gear with an easy grin and a class ring that flashes when he talks; looks half-hungover until the room suddenly realizes he’s counting votes.,The party prince who sobers up into a strategist the moment power is on the table.,"Turns a ‘friendly’ handshake into a toll—his Weighted Class Ring bites into pressure points as he twists, drops, and collects what he came for.",“I don’t need everyone to like me. I just need the right people to agree.”,"Karter H runs AΦT like a small state: favors, traditions, logistics, and a constant sense of who owes what to whom. People mistake his social life for aimlessness, but he treats the fraternity as infrastructure—something you can leverage when the campus gets complicated.","Academics aren’t his arena. Influence is. Karter knows how to read a room, stack a meeting, and turn a ‘casual’ hangout into a decision point. When he’s focused, he’s surprisingly disciplined—because he’s learned that charm without follow-through is just noise.","Under the bravado is a quieter fear: that without status, the doors close. That’s why he keeps moving, keeps networking, keeps the house alive—so he never has to find out what he is when the crowd is gone.",Social exclusion and losing his seat at the table.,Being cut off from resources and influence.,Public humiliation that fractures his image.,Graduate while keeping AΦT dominant on campus.,Build a post-college power network through lobbying and alumni ties.,Own the kind of status symbols that make doors open early.,Classic cars — a small habit that keeps them human.,Frat logistics — a small habit that keeps them human.,Trading favors — a small habit that keeps them human.,Power Broker,Karter controls the powerful AΦT house vote; the Student Body President controls the Student Senate. They trade influence.,Mutual Necessity,the Student Body President needs the frat house for logistics; Karter needs the Student Body President to secure funding. the Student Body President views Karter as a junior protégé.,"A trainee student with her own momentum. Person drawn to Karter’s status and momentum. She understands the social game and expects him to keep winning it, even when he wishes the whole thing could slow down for a day.",,,,,,
Eloquence,Milo,Peter G,1,6,"Lean and minimalist in athletic gear, face unreadable; his shoes look ordinary until he moves, and then the whole room feels like it has different gravity.","He teaches freedom like a discipline—no speeches, just routes you either survive or you don’t.","Launches with Gravity Shoes and lands heel-first—an impact that feels heavier than physics should allow, followed by a clean, emotionless reset.",“Your body tells the truth before your mouth does.”,"Peter G found parkour as a way out of pressure—movement without permission, progress without applause. He trains Lewor students with an almost clinical calm, insisting that the safest route is the one you can repeat when you’re tired, scared, or alone.","He speaks sparingly, but his feedback is exact. Peter doesn’t motivate with hype; he motivates with clarity—showing someone the real consequence of a mistake, then giving them the cleanest way to fix it.","People come to him for skills and leave with something harder to name: a quieter mind. Peter treats movement like therapy without calling it that, and in doing so, he becomes the coach who steadies others even when he refuses attachment for himself.",Emotional compromise that clouds judgment.,Being trapped with no exit.,Permanent loss of mobility.,Master every movement discipline he touches.,Live without dependency or emotional leverage.,Eventually open a training space built on pure survival craft.,Parkour lines — a small habit that keeps them human.,Risk assessment,Silence — a small habit that keeps them human.,Variable,"the Student Body President sends Peter students with psychological 'blocks,' viewing Peter's training as psychological therapy.",Unmoved,"Peter offers the Student Body President pure, unvarnished advice on strategy. the Student Body President respects the honesty, knowing Peter cannot be bought or flattered.","A junior hairdresser with her own momentum. Person bright, social, and emotionally fearless in a way Peter isn’t. She keeps testing his ‘no attachment’ stance simply by showing up like it’s normal to care.",,,,,,
Eloquence,Milo,Joe B,1,7,"A massive, friendly presence in a tracksuit, always with a coach’s whistle or shoulder pad nearby; smiles easily, but takes responsibility like it’s a promise.",A gentle giant trying to earn redemption by being the adult he wishes he had.,Steps in like a moving wall—drives a Football Shoulder Pad into the target and keeps pushing until the path is clear for everyone behind him.,“You don’t win by breaking people. You win by building them.”,"Joe B is Lewor’s football coach, and he treats the job like a second chance he refuses to waste. He’s not polished, and he’s not clever on purpose—but he’s consistent, and in a campus full of angles, that becomes its own kind of strength.","He talks in simple analogies because he means them. Joe believes in teamwork the way some people believe in religion: as a daily practice, not a slogan. When players mess up, he pushes them to own it, learn, and come back better.",His fear is becoming the version of himself that once cut corners. That’s why he stays close to the people who need guidance most—because keeping others on the right path is also how he stays on it.,Moral compromise and slipping back into old mistakes.,Letting his team down when it matters.,Public disgrace that proves he never changed.,Become a respected head coach who lasts.,Be a genuine role model for his athletes.,"Put his values into something lasting—stories, lessons, a legacy.",Team rituals — a small habit that keeps them human.,Second chances — a small habit that keeps them human.,Early morning practices,Budget,"the Student Body President, as Student President, approves Joe's massive athletic budget. the Student Body President uses this power to ensure Joe stays loyal to the political structure.",Confidant,"Joe acts as the Student Body President’s confidant, offering simple, moral guidance when the Student Body President gets too caught up in the political game. the Student Body President values the genuine advice.","A skilled pharmacy market merchant with her own momentum. Person energetic and grounded, the kind of presence that keeps Joe’s big emotions from becoming big mistakes. She reminds him to lead with care, not ego.",,,,,,
Eloquence,Milo,Xano D,1,8,"Coiled intensity with a coach’s whistle always ready; eyes like a scoreboard, posture like he’s about to start a match even in a hallway.","His discipline is loud—until the rare moment it becomes quiet, and you see the purpose under the rage.","A single whistle cut forces a freeze; Xano steps in and delivers a low, brutal impact that feels like a command made physical—fast, final, reset.","“If you’re going to be intense, be accurate.”","Xano D runs Lewor wrestling like it’s the only honest place left on campus. He demands discipline, repetition, and respect for the grind, because he believes softness is how people get hurt—first emotionally, then physically.","His reputation is explosive, but it’s not random. Xano’s anger has rules: it shows up when standards slip, when effort turns lazy, when someone tries to win without earning it. Underneath the volume is a coach who cares about outcomes—real improvement, not excuses.","When he’s calm, he’s almost unsettlingly focused. That quieter version of Xano is the one who plans, protects the program, and pushes students toward a kind of strength that doesn’t need approval—only proof.",Public humiliation or being laughed at.,Losing a match or being ‘outclassed.’,Being seen as weak.,Coach an athlete to the highest level possible.,"Make Lewor known for ruthless, undeniable physical standards.",Earn a reputation that no one on campus dares to challenge.,Discipline drills,Perfect records,Quiet focus after training,Intensity,"the Student Body President sees Xano as a political ally, using Xano's fierce defense of his program to pressure the athletic budget.",Unstoppable Force,"the Student Body President channels Xano's relentless focus to cut through red tape, but often has to mollify Xano after he yells at a donor.",A seasoned personal trainer with her own momentum. Matches Xano’s intensity and doesn’t flinch from his standards. Whether that fuels his best discipline or his worst extremes depends on the day.,,,,,,
Cunning,Kevin,Quinton J,2,1,"Light-skinned man with tired, clear eyes; sits more than he stands. Keeps a gentleman’s cane close, neat layers, and a pharmacist’s calm that doesn’t rush.",He corrects someone’s “obvious” assumption with a single detail he couldn’t have noticed unless he was paying attention the whole time.,"Uses his gentleman’s cane in a clean low sweep—trips the target, steals their footing, and resets the lane before they can recover.",“Memory is medicine. Use it wrong and you still get hurt.” — Quinton J,"Quinton works Lexena Market’s pharmacy lane like a quiet metronome: labels, receipts, and routines. He remembers what people buy, when they buy it, and what they pretend they didn’t buy.","To the core group, he’s the clinical anchor—steady voice, sharp recall, and a practical sense of risk. He can’t outrun trouble, but he can keep the team from stumbling into it.","He helps without grandstanding: a sleep-aid suggestion, a warning about interactions, a calm correction that keeps the crew functional when stress makes everyone sloppy.",A dispensing mistake that harms someone.,Forgetting a detail that mattered.,Being cornered when he can’t stand his ground.,"Build a private, reliable supply lane for legitimate care (no drama, no noise).",Keep the crew’s ‘extra work’ from turning into real casualties.,Earn quiet respect as the market’s most dependable pharmacist.,Orderly shelves and clean records,Quiet sanctuaries,Tools with history,Dispenser,Quinton supplies practical medical knowledge and controlled resources; he keeps the crew steady enough to keep moving.,Anchor,"When the team spirals, Quinton slows the tempo—he doesn’t hype plans, he stabilizes them.",A seasoned yoga instructor with her own momentum. Willow Ryder. High-End Corporate Lawyer. She protects him from liability for selling client data.,,,,,,
Cunning,Kevin,Milan P,2,2,High-end chef look with immaculate blacks/whites; burn-scarred hands hidden when possible. Moves like everything must be placed ‘exactly here.’,"He defends the artistry of a ‘simple’ dish so fiercely it exposes what he values: control, ritual, and a sanctuary that stays untouched.","Flicks a culinary blowtorch to life and draws a searing line across the target—heat, pressure, and a forced flinch that opens the next beat.","“Fire behaves, if you do.” — Milan P","Milan runs a Lexena Market restaurant that looks like prestige and smells like discipline. The kitchen is his kingdom—precision rituals, quiet sanctuaries, and standards that don’t negotiate.","Behind the dining room, he’s useful in ways a ‘normal’ venue shouldn’t be: back-of-house routes, hiding spots, staff rhythms, and the credibility to explain why someone belongs there.","He’s not a chatterbox ally. He’s a controlled fire—helpful when the team needs cover or a second base, and demanding when anyone treats his space like a playground.",Taste or scent loss.,Inspection failure.,Noise invasion in his sanctuary.,Lexena legacy: make the restaurant a local legend.,Create the perfect simple dish.,Build a stable sanctuary network (places that stay safe).,Precision rituals,Quiet sanctuaries,Tools with history,Sanctuary Vendor,Milan’s venue can function as a secondary meet point and a credible ‘reason to be there’ during investigations.,Unseen Host,"He doesn’t lead the crew—he shelters them briefly, then pushes them back into the storm with better positioning.","A junior hairdresser with her own momentum. Chloe Temple. Architect. She designed his minimalist, high-end restaurant.",,,,,,
